	IDRegent	IDBron	deel en paginanummer
10260	519	444	30-32.
10261	986	444	60-69.
10262	1109	446	nr. 3099.
10263	1088	446	nr. 543.
10264	3773	66	(1933) 456, (1971) 64.
10265	3465	313	nrs. 1004, 1274, 1275, 1317, 1782.
10266	1090	407	nr. 67, 95, 126-127.
10267	290	447	regest nr. 183.
10268	2474	447	regest nr. 187.
10269	4573	447	regest nr. 231, 237.
10270	414	447	regest nr. 291.
10271	1244	447	regest nrs. 304, 346.
10272	257	447	regest nrs. 321, 353, 354..
10273	4530	447	regest nr. 374.
10274	260	447	regest nr. 1039.
10275	996	447	regest nr. 1035.
