	IDRegent	IDBron	deel en paginanummer
1134	731	5	81.
1135	732	2	62.
1136	732	12	IX, 142.
1137	733	2	62.
1138	733	3	no. 4394
1139	733	4	III, 85.
1140	733	12	IX, 143.
1141	734	2	63.
1142	734	5	361.
1143	735	2	64.
1144	737	2	67.
1145	737	7	4 (1913) 93.
1146	737	9	139.
1147	737	12	IX, 179.
1148	737	20	223.
1149	738	2	68.
1150	738	4	III, 255.
1151	738	12	IV, 469.
1152	739	2	72.
1153	740	2	72.
1154	740	19	197.
1155	741	2	73.
1156	742	2	73.
1157	742	16	285.
1158	743	2	73.
1159	743	19	72.
1160	744	2	74.
1161	745	2	74.
1162	745	8	82 (1992) 27.
1163	745	12	IX, 203.
1164	746	2	76.
1165	747	2	76.
1166	747	8	82 (1992) 92.
1167	748	2	77.
1168	748	4	IV, 122.
1169	748	12	I, 759.
1170	749	2	77.
1171	750	2	78.
1172	750	3	no. 4406
1173	750	12	IX, 225.
1174	750	16	268.
1175	751	2	79.
1176	751	3	no. 3356
1177	751	4	V, 23.
1178	751	5	180.
1179	751	12	II, 433.
1180	752	2	80.
1181	752	5	535.
1182	753	2	80.
1183	754	2	81.
1184	754	4	V, 93.
1185	755	2	82.
1186	755	12	V, 187.
1187	756	2	83.
1188	756	4	VI, 34.
1189	756	12	I, 865.
1190	757	2	84.
1191	757	5	657.
1192	758	2	85.
1193	758	3	no. 4412
1194	758	4	VI, 53.
1195	758	8	82 (1992) 494.
1196	758	12	I, 877.
1197	759	2	86.
1198	759	8	82 (1992) 514.
1199	759	12	I, 883.
1200	760	2	87.
1201	760	12	VIII, 575.
1202	761	2	88.
1203	761	12	VI, 547.
1204	762	2	90.
1205	762	4	VII, 49.
1206	762	8	83 (1993) 162.
1207	762	12	III, 463.
1208	762	16	286.
1209	763	2	91.
1210	764	2	91.
1211	764	7	6 (1915) 127.
1212	765	2	92.
1213	765	9	141.
1214	766	2	92.
1215	767	2	93.
1216	767	12	IX, 297.
1217	768	2	93.
1218	769	2	94.
1219	770	2	94.
1220	771	2	94.
1221	771	4	VII, 122.
1222	772	2	95.
1223	773	2	95.
1224	773	12	VII, 506.
1225	774	2	96.
1226	775	2	96.
1227	775	5	659.
1228	775	12	VI, 652.
1229	776	2	97.
1230	777	2	93.
1231	777	6	no. 925
1232	777	8	84 (1994) 63.
1233	778	2	101.
1234	778	5	188.
1235	779	2	102.
1236	779	12	III, 531.
1237	780	2	102.
1238	780	4	VI, 32.
1239	780	12	VI, 688.
1240	781	2	103.
1241	781	4	VI, 43.
1242	781	12	VI, 693.
1243	781	26	361.
1244	782	2	104.
1245	782	7	9 (1918) 149, 150.
1246	783	2	104.
1247	783	12	IX, 325.
1248	784	2	106.
1249	784	5	660.
1250	784	12	I, 1034.
1251	785	2	107.
1252	785	8	85 (1995) 8.
1253	785	9	142.
1254	786	2	108.
1255	786	8	85 (1995) 42.
1256	786	9	141.
1257	786	12	IX, 353.
1258	787	2	109.
1259	788	2	110.
1260	789	2	111.
1261	790	2	111.
1262	790	9	141.
1263	790	12	VIII, 749.
1264	791	2	112.
1265	791	8	85 (1995) 118.
1266	791	12	IX, 359.
1267	792	2	113.
1268	793	2	114.
1269	793	5	92.
1270	794	2	114.
1271	795	2	115.
1272	795	8	85 (1995) 379.
1273	796	2	115.
1274	797	2	117.
1275	798	2	118.
1276	799	2	118.
1277	799	12	VIII, 826.
1278	800	2	119.
1279	800	12	VIII, 826.
1280	801	2	121.
1281	801	4	VI, 378.
1282	802	2	123.
1283	803	2	123.
1284	803	4	VI, 425.
1285	803	15	22.
1286	804	2	126.
1287	805	2	126.
1288	805	5	366.
1289	805	8	85 (1995) 485.
1290	805	12	VIII, 880.
1291	806	2	127.
1292	806	5	95.
1293	807	2	129.
1294	808	2	129.
1295	808	9	87.
1296	809	2	130.
1297	809	7	41 (1955) 195.
1298	810	2	131.
1299	810	5	668.
1300	810	12	VIII, 919.
1301	811	2	132.
1302	811	26	360.
1303	812	2	133.
1304	812	5	296.
1305	813	2	133.
1306	814	2	134.
1307	814	7	52 (1966) 210.
1308	815	2	135.
1309	815	4	X, 10.
1310	815	12	VIII, 941.
1311	816	2	136.
1312	816	5	546.
1313	816	7	4 (1913) 201.
1314	816	12	III, 669.
1315	817	2	138.
1316	818	2	138.
1317	819	2	141.
1318	819	5	201.
1319	819	12	VIII, 978.
1320	819	15	18.
1321	820	2	142.
1322	820	5	297.
1323	821	2	142.
1324	821	5	371.
1325	822	2	142.
1326	823	2	143..
1327	823	4	X, 100.
1328	823	12	IX, 543.
1329	824	2	144.
1330	825	2	144.
1331	826	2	146.
1332	826	7	75 (1991) 167.
