	alias	IDPersoon
445	Van Bylandt van Mariënweerd	7584
446	Van Eck van Vieracker en Ommershof	2923
447	Van Heeckeren van Overlaer	7586
448	D'Isendoorn à Blois van Cannenburg	7587
449	Van Nagell van Wisch	7589
450	Van Neukirchen genaamd Nyvenheim tot Eck en Wiel	7590
451	Van Rouwenoort van Ulenpas	7591
452	Schimmelpenninck van der Oye van de Poll	7592
453	Van Spaen van Hulshorst	2955
454	Van Heeckeren van Overlaer	7593
455	Van Heeckeren van Oldoolde	7593
456	Van Pallandt van Eerde	7596
457	Van Heeckeren van Molecaten	7599
458	Van Heeckeren van Marhulsen	7601
459	Van Heeckeren van de Cloese	7602
460	Van Eck van Overbeek	7604
461	Van Lynden van Hemmen	7605
462	Van Haersolte van Staverden	7606
463	Van Heeckeren van de Beurze	2746
464	Van Zuylen van Nievelt van den Brielert	7607
465	Reint Willem van Middachten	3014
466	Elders J.H.	3114
467	Van Pallandt van Barlham	7608
468	Van Pallandt van Keppel	7608
469	Van Pallandt van Waardenburg en Neerijnen	7608
470	Van Bylandt van Mariënwaerd	7611
471	Van Wassenaer van Katwijk	7613
472	Van Ranzow van Meinerswijk	7614
473	Torck van Rosendael	7617
474	Van der Heyden van Doornenburg en Suideras	7618
475	Van Pallandt van Oud-Beyerland	7620
476	Van Balveren van Echteld en Leur	7621
477	Van Nagell van Wisch	7622
478	Van Zuylen van Nievelt van de Schaffelaar	7624
479	Van Voorst tot Voorst en Ploen	7625
480	Van Brakell van Wadenoyen en Doorwerth	7626
481	Van Heeckeren van de Wiersse	7627
482	Sloet van Zwanenburg	7631
483	Van Kretschmar van Veen	7632
484	Van Randwijck van Rossum	7634
485	De Vos van Steenwijk genaamd van Essen van Abbenbroek	7638
486	Van Wijnbergen van Bussloo	7639
487	Van Schuylenburch van den Ulenpas	7640
488	Mollerus van Westkerke en Wulpendaal	7642
489	Brantsen van de Zijp	7651
490	Van Pallandt van Westervoort	7655
491	Van Coeverden van Putten en den Schuylenburg	7668
492	Van Hasselt van Empe	7710
493	Sloet van de Beele	7712
494	Boesses van Leeuwen en Puiflijk	7716
495	Engelen van 't Celle	7718
496	Vermeulen van 't Munnikeland	7721
497	Van Brakell van Geldermalsen	7722
498	Bouwens van Horssen	7724
499	Sloet van Diepenbroeck en Sinderen	7725
500	Van Heeckeren van Molecaten	7727
501	Van Meurs van Hulshorst	2837
502	Van Rhemen van Rhemenshuizen en de Geldersche Toren	2950
503	Sloet tot Oldhuis van de Beele	7738
504	Brantsen van Rhederoord	7744
505	Van der Borch van den Ulenpas	7745
506	Van der Borch tot Helbergen	7745
507	Van der Borch van Vorden	7748
508	Van Pallandt van Walfort en Klarenbeek	7753
509	Van Heeckeren van Marhulsen	7758
510	Van Nispen van Velde	7763
511	De Nerée van Babberich	7766
512	De Nerée van Babberich	7768
513	Van Westerholt van Hackfort	7782
514	Van den Steen van Wadestein	2958
515	Van Barneveld van Meteren en Geldermalsen	7793
516	Van Nagell van Ampsen	7814
517	Van Scherpenzeel Heusch van Dreumel en Oosterhout	7781
518	Viruly van Vuren en Dalem	7838
519	Van Wassenaer van Catwijck	7842
520	Six tot Oterleek	7905
521	Evertz	3969
522	Sweerts de Landas van Oirschot	2697
523	Repelaer van Valkenswaard	6333
524	De Sandra Veldtman van Slochteren	4352
525	Hendrik Jansz. Mossel van Stralen	2812
526	Van Pallandt tot Beerse	2790
527	Van Gennip	2736
528	Nagell	2940
529	Van Pallandt van Barlham	2945
530	Pierre Hofstede	3181
531	Kijmmel	3188
532	De Vos van Steenwijk tot Havoxhorst	3205
533	Gaschard	3368
534	Van Gobbelschroy van Spoelbeeck	3824
535	Arend Jacob Drabbe	3936
536	A.J.F. van Galen	4106
537	Muentz	3904
538	Sijpkens	3913
539	Slingenburg	4213
540	Van Limburg Stirum van de Wildenborch	4304
541	Eppo Cremers	4323
542	Verhousen	5155
543	Linsen de Jonge	5221
544	Van Kinsbergen van Doggersbank	7598
545	Aaldert Schouten	7779
546	Borssele van der Hooghe	6092
547	Sloet tot Lindenhorst	3021
548	Lamoraal Johan Joachim Rengers	2984
549	Hans Hendrik Boreel van Haersma	3244
