	IDRegent	IDBron	deel en paginanummer
822	346	137	10 (1915) 266.
823	346	149	6 (1997) 225.
824	346	176	
825	347	136	22 (1918) 302.
826	347	148	Collectie Van der Lely, inv. nr. 7, f. 129.
827	348	63	
828	348	132	175.
829	348	148	Collectie Van der Lely, inv. nr. 7, f. 124.
830	349	134	24 (1906) 195.
831	349	135	15 (1902) 262.
832	349	148	Collectie Van der Lely, inv. nr. 7, f. 128.
833	350	63	
834	350	135	15 (1902) 273.
835	350	136	1 (1897) 98, 2 (1898) 42.
836	350	148	Collectie Van der Lely, inv. nr. 7, f. 131v
837	351	136	22 (1918) 345.
838	351	148	Collectie Van der Lely, inv. nr. 7, f. 142v.
839	352	134	24 (1906) 197.
840	352	148	Collectie Van der Lely, inv. nr. 7, f. 143v.
841	353	135	15 (1902) 265, 273.
842	353	137	8 (1913) 398.
843	353	148	Collectie Van der Lely, inv. nr. 7, f. 145.
844	354	135	15 (1902) 262, 273.
845	355	135	15 (1902) 268, 271-272.
846	357	15	61 (1975) 187.
847	357	122	
848	357	149	9 (2000) 102.
849	358	136	1 (1897) 3.
850	358	149	9 (2000) 245.
851	359	136	1 (1897) 3-4, 4 (1900) 184.
852	359	149	9 (2000) 170.
853	360	136	1 (1897) 4.
854	360	149	9 (2000) 276.
855	361	141	44 (1989) 191.
856	362	15	53 (1967) 239.
