	IDRegent	IDBron	deel en paginanummer
543	3077	2	46 (1960) 256.
544	3078	13	179.
545	3079	2	63 (1977) 184.
546	3080	2	63 (1977) 185.
547	3081	2	61 (1975) 235.
548	3081	3	II, 1022.
549	3083	2	20 (1931/1932) 191.
550	3083	3	VII, 942.
551	3083	13	181.
552	3083	32	290.
553	3084	2	12 (1921/1922) 390.
554	3085	3	V, 524.
555	3086	2	9 (1918) 199.
556	3087	1	42 (1949) 503.
557	3087	3	IX, 818.
558	3087	13	187.
559	3089	2	1 (1910) 361.
560	3089	3	II, 1178.
561	3090	2	22 (1935/1936) 280.
562	3091	2	1 (1910) 392.
563	3092	1	44 (1951) 10.
564	3095	1	44 (1951) 319.
565	3095	13	218.
566	3096	1	44 (1951) 345.
567	3097	1	45 (1952) 3.
568	3102	1	45 (1952) 361.
569	3103	3	V, 957.
570	3104	2	53 (1967) 295.
571	3104	3	III, 1333.
572	3106	3	III, 1403.
573	3108	1	46 (1953) 407.
574	3108	3	III, 1481.
575	3109	1	46 (1953) 565.
576	3109	3	IX, 1322.
577	3112	1	80 (1989) 27.
578	3112	3	I, 378.
579	3114	2	49 (1963) 89.
580	3115	1	80 (1989) 369
581	3118	1	80 (1989) 619.
582	3118	3	III, 189.
583	3119	1	83 (1993) 277.
584	3121	1	84 (1994) 122.
585	3121	3	X, 329.
586	3122	3	I, 1034.
587	3123	1	85 (1995) 130.
588	3126	3	III, 595.
589	3127	3	IX, 382.
590	3128	1	85 (1995) 352.
591	3129	14	665.
592	3131	14	667.
593	3133	21	49 (1994) 147.
594	3134	1	86 (1996/1997) 170.
595	3135	1	86 (1996/1997) 259.
596	3135	3	III, 651.
597	3136	1	86 (1996/1997) 490.
598	3138	14	675.
599	3142	1	43 (1950)  415.
600	3142	2	22 (1935/1936) 318.
601	3145	1	44 (1951) 223.
602	3146	1	44 (1951) 405.
603	3148	2	50 (1964) 430.
604	3149	3	V, 949.
605	3150	1	45 (1952) 435.
606	3150	3	X, 1059.
607	3150	13	233.
608	3151	3	VII, 1226.
609	3152	1	46 (1953) 35.
610	3152	3	IX, 1193.
611	3153	2	39 (1953) 86.
612	3154	1	46 (1953) 126.
613	3155	2	44 (1958) 326.
614	3156	1	46 (1953) 294.
615	3158	1	80 (1989) 110.
616	3159	1	80 (1989) 458.
617	3159	3	IV, 290.
618	3162	1	81 (1990/1991) 135.
619	3163	2	4 (1913) 93.
620	3163	3	IX, 179.
621	3163	13	67.
622	3166	1	86 (1996/1997) 189.
623	3166	3	III, 653.
624	3167	1	86 (1996/1997) 249.
625	3168	32	288.
626	3169	10	2 (1898) 210.
627	3169	15	194.
628	3169	16	224.
629	3171	2	68 (1984) 229.
630	3171	3	VIII, 1252.
631	3171	14	564.
632	3171	32	289.
633	3171	33	107.
634	3174	2	74 (1990) 326.
635	3175	1	79 (1988) 71.
636	3176	1	79 (1988) 155.
637	3178	2	50 (1964) 167.
638	3179	11	1 (1906) 150.
639	3180	1	83 (1993) 563.
640	3181	2	67 (1983) 153.
641	3181	3	IV, 764.
642	3182	1	85 (1995) 379.
643	3182	3	IX, 393.
644	3182	13	115.
645	3183	2	50 (1964) 247.
646	3183	13	115.
647	3184	1	86 (1996/1997) 9.
648	3185	1	86 (1996/1997) 64.
649	3186	2	50 (1964) 167.
650	3186	14	97.
651	3187	2	35 (1949) 95.
652	3188	2	38 (1952) 200.
653	3189	1	87 (1998) 237.
654	3190	1	87 (1998) 224.
655	3190	3	III, 765.
656	3191	1	87 (1998) 230.
657	3192	1	87 (1998) 460.
658	3192	10	21 (1917) 110.
659	3193	2	18 (1928/1929) 148.
660	3194	2	20 (1931/1932) 168.
661	3194	3	X, 691.
662	3196	1	44 (1951) 250.
663	3197	2	3 (1912) 360.
664	3197	3	X, 919.
665	3198	2	6 (1915) 331.
666	3198	13	216.
667	3199	1	45 (1952) 225.
668	3199	10	21 (1917) 110.
669	3200	1	45 (1952) 235.
670	3200	14	108.
671	3201	2	34 (1948) 318.
672	3201	13	232.
673	3201	14	312.
674	3202	1	45 (1952) 435.
675	3202	3	X, 1044.
676	3204	3	IX, 1234.
677	3205	1	46 (1953) 175.
678	3205	3	IX, 1238.
679	3207	1	79 (1988) 87.
680	3207	3	IV, 33.
681	3208	2	9 (1918) 1.
682	3209	1	79 (1988) 185.
683	3211	1	79 (1988) 261.
684	3211	3	VI, 86.
685	3212	1	79 (1988) 455.
686	3213	2	16 (1926) 306.
687	3213	16	123.
688	3214	1	79 (1988) 504.
689	3214	3	IV, 131.
690	3214	15	103.
691	3215	3	IV, 141.
692	3216	1	79 (1988) 569.
693	3217	16	126.
694	3217	18	3 (1874) 183.
695	3218	3	X, 85.
696	3219	16	134.
697	3221	1	80 (1989) 525.
698	3221	3	VII, 212.
699	3222	2	31 (1945) 83.
700	3222	16	137.
701	3223	3	IV, 318.
702	3223	13	52.
703	3223	16	138.
704	3225	3	VII, 269.
705	3226	1	81 (1990/1991) 79.
706	3226	3	VIII, 264.
707	3227	11	1 (1906) 414.
708	3229	16	145.
709	3230	3	II, 347.
710	3231	3	I, 660.
711	3233	8	49 (1931) 7.
712	3235	1	82 (1992) 199.
713	3235	3	V, 150.
714	3235	16	159.
715	3236	1	82 (1992) 200.
716	3236	15	134.
717	3236	16	160.
718	3237	3	VIII, 521.
719	3237	13	81.
720	3238	1	82 (1992) 283.
721	3238	3	VIII, 522.
722	3239	1	82 (1992) 494.
723	3239	3	I, 877.
724	3239	13	85.
725	3240	2	17 (1927) 163.
726	3241	2	39 (1953) 114.
727	3241	3	IV, 660.
728	3242	1	83 (1993) 361.
729	3242	16	168.
730	3243	1	83 (1993) 389.
731	3244	14	188.
732	3244	16	173.
733	3245	1	84 (1994) 134.
734	3247	2	3 (1912) 147.
735	3250	2	38 (1952) 156.
736	3252	16	184.
737	3254	1	85 (1995) 220.
738	3254	3	VII, 596.
739	3254	16	184.
740	3255	1	85 (1995) 206.
741	3255	3	VII, 602.
742	3256	1	85 (1995) 363.
743	3256	16	185.
744	3257	2	42 (1956) 156.
745	3259	2	73 (1989) 149.
746	3260	1	85 (1995) 521.
747	3260	16	190.
748	3261	1	86 (1996/1997) 7.
749	3261	13	129.
750	3265	2	44 (1958) 156.
751	3268	1	87 (1998) 154.
752	3270	13	158.
753	3271	1	87 (1998) 516.
754	3271	16	215.
755	3272	2	1 (1910) 270.
