,lokaal_id,lokaal,old_idlokaal
453,453,Ommen,['negentiende_eeuw_88']
454,454,Onderdendam,['negentiende_eeuw_45']
455,455,Oost-Friesland,['batfra_201']
456,456,Oost-Stellingwerf,['divperioden_24']
457,457,Oostdongeradeel,"['batfra_176', 'negentiende_eeuw_178', 'divperioden_2']"
458,458,Oosterhesselen,['batfra_410']
459,459,Oosterhout,['negentiende_eeuw_108']
460,460,Ooststellingwerf,['batfra_390']
461,461,Oostzaan,['batfra_471']
462,462,Opper Gelder/Overmaze,['negentiende_eeuw_106']
463,463,Opsterland,"['batfra_169', 'negentiende_eeuw_179', 'divperioden_29']"
464,464,Oud-Beijerland,['negentiende_eeuw_134']
465,465,Oude Pekela,['negentiende_eeuw_76']
466,466,Oudenbosch,['negentiende_eeuw_104']
467,467,Oudewater,['batfra_495']
468,468,Overschie,['batfra_498']
469,469,Peize,['batfra_404']
470,470,"Pesse, Echten en Ansen",['batfra_416']
471,471,Pijnacker,['negentiende_eeuw_135']
472,472,Purmerend,"['batfra_453', 'negentiende_eeuw_146', 'republiek_19']"
473,473,Putten,"['batfra_270', 'negentiende_eeuw_245']"
474,474,Raalte,"['batfra_243', 'negentiende_eeuw_89']"
475,475,Rauwerdehem,['negentiende_eeuw_180']
476,476,Rauwerderhem,"['batfra_193', 'divperioden_9']"
477,477,Ravenstein/Oss,['negentiende_eeuw_95']
478,478,Renkum,['batfra_281']
479,479,Rheden,['batfra_280']
480,480,Rhenen,"['negentiende_eeuw_84', 'republiek_38']"
481,481,Ridderkerk,['negentiende_eeuw_46']
482,482,Ridderschap van Holland,"['divperioden_42', 'republiek_1']"
483,483,Ridderschap van Overijssel,['republiek_31']
484,484,Ridderschap van Utrecht,['republiek_33']
485,485,Ridderschap van het Kwartier Nijmegen,['republiek_39']
486,486,Ridderschap van het Kwartier Veluwe,['republiek_41']
487,487,Ridderschap van het Kwartier Zutphen,['republiek_40']
488,488,Rijk van Nijmegen,['batfra_287']
489,489,Rijnland,['batfra_473']
490,490,Rijssen,['batfra_244']
491,491,Ring van Amersfoort,['batfra_352']
492,492,Ring van Arnhem,['batfra_353']
493,493,Ring van Doesburg,['batfra_354']
494,494,Ring van Gorinchem,['batfra_349']
495,495,Ring van Tiel,"['batfra_350', 'batfra_356']"
496,496,Ring van Utrecht,['batfra_351']
497,497,Ring van Zutphen,['batfra_355']
498,498,Roden,"['batfra_427', 'batfra_436']"
499,499,Roermond,['negentiende_eeuw_47']
500,500,Rolde,['batfra_421']
501,501,Roosendaal,['negentiende_eeuw_105']
502,502,Rosendaal (Geld.),['batfra_284']
503,503,Roswinkel,['batfra_417']
504,504,Rotterdam,"['batfra_450', 'negentiende_eeuw_48', 'me_14', 'republiek_8']"
505,505,Ruinen,"['batfra_413', 'negentiende_eeuw_70']"
506,506,Ruinerwold,['batfra_435']
507,507,Ruurlo,['negentiende_eeuw_49']
508,508,Schagen,"['batfra_496', 'negentiende_eeuw_136']"
509,509,Schermer,['batfra_475']
510,510,Schermerhorn,['negentiende_eeuw_137']
511,511,Scherpenzeel,['batfra_282']
512,512,Schiedam,"['batfra_447', 'negentiende_eeuw_50', 'me_13', 'republiek_10']"
513,513,Schieland,['batfra_490']
514,514,Schiermonnikoog,['negentiende_eeuw_197']
515,515,Schoonebeek,['batfra_418']
516,516,Schoonhoven,"['batfra_449', 'negentiende_eeuw_147', 'republiek_11']"
517,517,Schoterland,"['batfra_180', 'negentiende_eeuw_181', 'divperioden_28']"
518,518,Schoutambt Genemuiden,['batfra_219']
519,519,Schoutambt Hardenberg,['batfra_226']
520,520,Schoutambt Nieuwesluis en Hasselerkerspel,['batfra_228']
521,521,Schoutambt Ommen en Den Ham,['batfra_241']
522,522,Schoutambt Steenwijk en Steenwijkerkerspelen,['batfra_247']
523,523,Schoutambt Vollenhove,['batfra_249']
524,524,Schoutambt Zwolle,['batfra_258']
525,525,Schouwen (eiland),['batfra_386']
526,526,Schouwen-Duiveland en Sommelsdijk,['batfra_364']
527,527,Sint Truiden,['negentiende_eeuw_223']
528,528,Sittard,['negentiende_eeuw_51']
529,529,Sleen,['batfra_424']
530,530,Sliedrecht,['negentiende_eeuw_155']
531,531,Sloten,"['negentiende_eeuw_182', 'divperioden_38']"
532,532,Sloterdijk,['negentiende_eeuw_138']
533,533,Sluis,['negentiende_eeuw_52']
534,534,Smallingerland,"['batfra_171', 'negentiende_eeuw_183', 'divperioden_6']"
535,535,Smilde,['batfra_441']
536,536,Sneek,"['batfra_401', 'negentiende_eeuw_53', 'divperioden_34']"
537,537,Sommelsdijk,"['negentiende_eeuw_139', 'me_4']"
538,538,St Maartensdijk,['me_6']
539,539,St. Oedenrode,['negentiende_eeuw_96']
540,540,Stad Almelo,['batfra_206']
